"ABronte_Agnes" "ABronte_Tenant" "Austen_Emma" "Austen_Pride" "Austen_Sense" "CBronte_Jane" "CBronte_Professor" "CBronte_Villette" "EBronte_Wuthering" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill"
"the" 3.67599695496867 3.54395423762246 3.24343864329031 3.55705249322271 3.43227424749164 4.18724213856645 4.31423777294789 4.30828492563754 3.9190127861008 4.65575686190858 3.95369657750483 4.19596902207898
"and" 4.0009954910113 4.00779442794039 3.04025628400656 2.9384703852789 2.91722408026756 3.53684345539665 3.30071284586538 3.26854941704775 4.0682268396635 3.13521634894063 2.68459327438076 2.97705517340901
"to" 3.46372313638227 3.34371394927645 3.23221998541574 3.3976833976834 3.43060200668896 2.7533722396802 2.61827272829649 2.44407366209368 2.98771127938188 2.97523267191289 3.17809854398668 2.92943383520131
"of" 2.34525970603736 2.23193204980305 2.67502664431245 2.96475807114105 2.98578595317726 2.3295709613288 2.99665536774063 2.4935113088617 1.90548061503632 2.0788603597546 2.79139899791101 2.43013131944778
"i" 3.22656204251332 3.63122313940908 1.98881873765169 1.69555573810893 1.67056856187291 3.82917548472605 3.30071284586538 3.03526552136118 3.07775424273868 1.30908382680955 1.42774121601458 1.32810621001491
"a" 1.89728875095157 1.66886831361813 1.9483069175491 1.60026287685862 1.72826086956522 2.38728916821651 2.51804637439611 2.41111523091501 1.98866316213736 2.24023519919127 2.30009266967189 2.31709076915677
"in" 1.33366516367043 1.20801678432029 1.35496456773888 1.53290068183685 1.62876254180602 1.47608969836893 1.71285712676945 1.59487908375561 1.25631372683538 1.44959123011217 1.65391804231391 1.49405935831449
"was" 1.4639573695614 1.09683859437295 1.49582104994173 1.5172923683562 1.55602006688963 1.3494302999209 1.22861743938558 1.48518930498908 0.966461140029671 1.40739263704109 1.45695572274491 1.46471691760065
"her" 1.09796802717105 1.0520086790716 1.54755152791888 1.8269941674197 2.12625418060201 0.916009320421557 1.39528598295026 1.10307749351131 1.33006320158476 1.41295728667684 1.17800430364239 1.38390494973303
"it" 1.16384610880131 1.36282942516094 1.57622143137609 1.25852296065062 1.46739130434783 1.28423010325146 1.07095800628385 1.14839533638199 1.12425071391207 1.11107504393755 1.06146041120204 1.15493770744144
