"anon_Mill" "anon_Sense" "anon_Villette"
"the" 4.19596902207898 3.43227424749164 4.30828492563754
"and" 2.97705517340901 2.91722408026756 3.26854941704775
"to" 2.92943383520131 3.43060200668896 2.44407366209368
"of" 2.43013131944778 2.98578595317726 2.4935113088617
"i" 1.32810621001491 1.67056856187291 3.03526552136118
"a" 2.31709076915677 1.72826086956522 2.41111523091501
"in" 1.49405935831449 1.62876254180602 1.59487908375561
"was" 1.46471691760065 1.55602006688963 1.48518930498908
"her" 1.38390494973303 2.12625418060201 1.10307749351131
"it" 1.15493770744144 1.46739130434783 1.14839533638199
"he" 1.10106306219635 0.929765886287625 1.14118567956165
"that" 1.41805762662947 1.15635451505017 0.999052445103613
"you" 1.16792534513445 0.995819397993311 0.878548181106579
"she" 0.946654480735004 1.34866220735786 0.994932641206279
"as" 0.968781567174948 1.02090301003344 0.79615210315989
"his" 0.948097551589783 0.853678929765886 0.842499897004903
"not" 0.671027947472221 1.04347826086957 0.987722984385943
"had" 1.0014911732166 0.834448160535117 0.794092201211222
"with" 1.0063014093992 0.82943143812709 0.832200387261566
"for" 0.856222040502189 1.05351170568562 0.67822271659869
"but" 0.771080860070229 0.740802675585284 0.682857495983191
"be" 0.683053537928712 1.08695652173913 0.512400609730977
"my" 0.372312280532974 0.525083612040134 0.983088205001442
"at" 0.682091490692193 0.701505016722408 0.570592839780826
"me" 0.417047477031122 0.37123745819398 0.891937543772916
"on" 0.65804030977921 0.581939799331104 0.580892349524163
"have" 0.538265428832556 0.684782608695652 0.473777448193466
"is" 0.427148973014575 0.635451505016722 0.451633502245293
"him" 0.513733224301313 0.536789297658863 0.406830634861781
"said" 0.792726922891914 0.331939799331104 0.304865488402752
"would" 0.398768579537255 0.430602006688963 0.38262678696494
"by" 0.421376689595459 0.624581939799331 0.34400362542743
"no" 0.407427004665929 0.474916387959866 0.349668355786265
"so" 0.347780076001732 0.538461538461538 0.358937914555267
